,Timestamp,value,classification,date,Trade_date
0,2018-02-01 05:30:00,30,Fear,2018-02-01,2018-02-01
1,2018-02-02 05:30:00,15,Extreme Fear,2018-02-02,2018-02-02
2,2018-02-03 05:30:00,40,Fear,2018-02-03,2018-02-03
3,2018-02-04 05:30:00,24,Extreme Fear,2018-02-04,2018-02-04
4,2018-02-05 05:30:00,11,Extreme Fear,2018-02-05,2018-02-05
5,2018-02-06 05:30:00,8,Extreme Fear,2018-02-06,2018-02-06
6,2018-02-07 05:30:00,36,Fear,2018-02-07,2018-02-07
7,2018-02-08 05:30:00,30,Fear,2018-02-08,2018-02-08
8,2018-02-09 05:30:00,44,Fear,2018-02-09,2018-02-09
9,2018-02-10 05:30:00,54,Neutral,2018-02-10,2018-02-10
10,2018-02-11 05:30:00,31,Fear,2018-02-11,2018-02-11
11,2018-02-12 05:30:00,42,Fear,2018-02-12,2018-02-12
12,2018-02-13 05:30:00,35,Fear,2018-02-13,2018-02-13
13,2018-02-14 05:30:00,55,Greed,2018-02-14,2018-02-14
14,2018-02-15 05:30:00,71,Greed,2018-02-15,2018-02-15
15,2018-02-16 05:30:00,67,Greed,2018-02-16,2018-02-16
16,2018-02-17 05:30:00,74,Greed,2018-02-17,2018-02-17
17,2018-02-18 05:30:00,63,Greed,2018-02-18,2018-02-18
18,2018-02-19 05:30:00,67,Greed,2018-02-19,2018-02-19
19,2018-02-20 05:30:00,74,Greed,2018-02-20,2018-02-20
20,2018-02-21 05:30:00,54,Neutral,2018-02-21,2018-02-21
21,2018-02-22 05:30:00,44,Fear,2018-02-22,2018-02-22
22,2018-02-23 05:30:00,39,Fear,2018-02-23,2018-02-23
23,2018-02-24 05:30:00,31,Fear,2018-02-24,2018-02-24
24,2018-02-25 05:30:00,33,Fear,2018-02-25,2018-02-25
25,2018-02-26 05:30:00,37,Fear,2018-02-26,2018-02-26
26,2018-02-27 05:30:00,44,Fear,2018-02-27,2018-02-27
27,2018-02-28 05:30:00,41,Fear,2018-02-28,2018-02-28
28,2018-03-01 05:30:00,38,Fear,2018-03-01,2018-03-01
29,2018-03-02 05:30:00,47,Neutral,2018-03-02,2018-03-02
30,2018-03-03 05:30:00,56,Greed,2018-03-03,2018-03-03
31,2018-03-04 05:30:00,44,Fear,2018-03-04,2018-03-04
32,2018-03-05 05:30:00,55,Greed,2018-03-05,2018-03-05
33,2018-03-06 05:30:00,59,Greed,2018-03-06,2018-03-06
34,2018-03-07 05:30:00,37,Fear,2018-03-07,2018-03-07
35,2018-03-08 05:30:00,39,Fear,2018-03-08,2018-03-08
36,2018-03-09 05:30:00,37,Fear,2018-03-09,2018-03-09
37,2018-03-10 05:30:00,39,Fear,2018-03-10,2018-03-10
38,2018-03-11 05:30:00,40,Fear,2018-03-11,2018-03-11
39,2018-03-12 05:30:00,41,Fear,2018-03-12,2018-03-12
40,2018-03-13 05:30:00,41,Fear,2018-03-13,2018-03-13
41,2018-03-14 05:30:00,40,Fear,2018-03-14,2018-03-14
42,2018-03-15 05:30:00,32,Fear,2018-03-15,2018-03-15
43,2018-03-16 05:30:00,33,Fear,2018-03-16,2018-03-16
44,2018-03-17 05:30:00,31,Fear,2018-03-17,2018-03-17
45,2018-03-18 05:30:00,29,Fear,2018-03-18,2018-03-18
46,2018-03-19 05:30:00,29,Fear,2018-03-19,2018-03-19
47,2018-03-20 05:30:00,37,Fear,2018-03-20,2018-03-20
48,2018-03-21 05:30:00,36,Fear,2018-03-21,2018-03-21
49,2018-03-22 05:30:00,36,Fear,2018-03-22,2018-03-22
50,2018-03-23 05:30:00,28,Fear,2018-03-23,2018-03-23
51,2018-03-24 05:30:00,32,Fear,2018-03-24,2018-03-24
52,2018-03-25 05:30:00,30,Fear,2018-03-25,2018-03-25
53,2018-03-26 05:30:00,31,Fear,2018-03-26,2018-03-26
54,2018-03-27 05:30:00,24,Extreme Fear,2018-03-27,2018-03-27
55,2018-03-28 05:30:00,24,Extreme Fear,2018-03-28,2018-03-28
56,2018-03-29 05:30:00,18,Extreme Fear,2018-03-29,2018-03-29
57,2018-03-30 05:30:00,12,Extreme Fear,2018-03-30,2018-03-30
58,2018-03-31 05:30:00,16,Extreme Fear,2018-03-31,2018-03-31
59,2018-04-01 05:30:00,16,Extreme Fear,2018-04-01,2018-04-01
60,2018-04-02 05:30:00,11,Extreme Fear,2018-04-02,2018-04-02
61,2018-04-03 05:30:00,22,Extreme Fear,2018-04-03,2018-04-03
62,2018-04-04 05:30:00,22,Extreme Fear,2018-04-04,2018-04-04
63,2018-04-05 05:30:00,17,Extreme Fear,2018-04-05,2018-04-05
64,2018-04-06 05:30:00,19,Extreme Fear,2018-04-06,2018-04-06
65,2018-04-07 05:30:00,20,Extreme Fear,2018-04-07,2018-04-07
66,2018-04-08 05:30:00,17,Extreme Fear,2018-04-08,2018-04-08
67,2018-04-09 05:30:00,21,Extreme Fear,2018-04-09,2018-04-09
68,2018-04-10 05:30:00,18,Extreme Fear,2018-04-10,2018-04-10
69,2018-04-11 05:30:00,20,Extreme Fear,2018-04-11,2018-04-11
70,2018-04-12 05:30:00,18,Extreme Fear,2018-04-12,2018-04-12
71,2018-04-13 05:30:00,23,Extreme Fear,2018-04-13,2018-04-13
72,2018-04-17 05:30:00,26,Fear,2018-04-17,2018-04-17
73,2018-04-18 05:30:00,24,Extreme Fear,2018-04-18,2018-04-18
74,2018-04-19 05:30:00,25,Fear,2018-04-19,2018-04-19
75,2018-04-20 05:30:00,26,Fear,2018-04-20,2018-04-20
76,2018-04-21 05:30:00,32,Fear,2018-04-21,2018-04-21
77,2018-04-22 05:30:00,31,Fear,2018-04-22,2018-04-22
78,2018-04-23 05:30:00,28,Fear,2018-04-23,2018-04-23
